TOPIK,Username_Posting_Owner,Link_Post_IG,Username_Komentar,Isi_Komentar,Sentimen
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,halidi.iy,Guaaaaa,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,sagi.saputra_,"Lucu, lalu setelah tau dalangnya, mau diapain??",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,lzrd.nzr,Maksudnya ga boleh nolak?,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,febrisheget,"Saya dalangnya pak, sini dah ngopi. saya ceritain opera van java",0
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,setyaryantio,Yang lain siap siap ww3 yang disini masih ngurusin citra,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,jane.rosalina,"kalo dalang penculikan dan penghilangan paksa aktivis 97-98, siapa pak? coba telusuri itu aja",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,metaphorfkrhrs,"Belahan dunia lain sibuk perang, ini sibuk ngamanin UU yang menguntungkan pribadi dan jabatan 😂",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,gmnstn,"saya dalangnya pak, teman-teman saya juga dalangnya, ibu2 tetangga saya juga, bapak2 komplek sebelah juga, anak tk tadika mesra juga, warga kelurahan bikini bottom sampe essos westeros juga dalang dari penolakan uu tni, ayok tangkap kami semua",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,nadyaluqyana,negara demokrasi yang pemrenta nya mencari dalang dari sebuah opini😍😍😍😍😍😍😍,1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,m_azril_10,Mau nangkep Wewokdetok? 😅,-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,gifranakbar,"Iran vs israel
America vs iran vs china
Indonesia vs indonesia🤣",-1
Tentara Nasional Indonesia (TNI) berniat menelusuri dalang atau aktor di balik petisi soal RUU TNI dan isu Indonesia Gelap.  Hal ini disampaikan Kepal...,tempodotco,https://www.instagram.com/p/DLPF7LDs29b/,gadgetapa,Pembungkaman dimulai,-1
